t= 42.01s alt= 11942.9m v= 500.45 vUp= 500.45 m=    1620kg fuel=      0kg twr=     0 drag= 0.002 rho=      0 space
t= 43.01s alt= 12443.1m v=  499.9 vUp=  499.9 m=    1620kg fuel=      0kg twr=     0 drag= 0.001 rho=      0 space
t= 44.01s alt= 12942.7m v= 499.38 vUp= 499.38 m=    1620kg fuel=      0kg twr=     0 drag= 0.001 rho=      0 space
t= 45.01s alt= 13441.9m v= 498.89 vUp= 498.89 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 46.01s alt= 13940.5m v= 498.43 vUp= 498.43 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 47.01s alt= 14438.7m v= 497.99 vUp= 497.99 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 48.01s alt= 14936.5m v= 497.58 vUp= 497.58 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 49.01s alt= 15433.9m v= 497.19 vUp= 497.19 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 50.01s alt= 15930.9m v= 496.82 vUp= 496.82 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 51.01s alt= 16427.5m v= 496.46 vUp= 496.46 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 52.01s alt= 16923.8m v= 496.13 vUp= 496.13 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 53.01s alt= 17419.8m v= 495.81 vUp= 495.81 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 54.01s alt= 17915.4m v=  495.5 vUp=  495.5 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 55.01s alt= 18410.8m v= 495.21 vUp= 495.21 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 56.01s alt= 18905.8m v= 494.92 vUp= 494.92 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 57.01s alt= 19400.6m v= 494.66 vUp= 494.66 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 58.01s alt= 19895.2m v=  494.4 vUp=  494.4 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 59.01s alt= 20389.4m v= 494.15 vUp= 494.15 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
